penalty_id,match_id,match_date,penalty_team,opponent_team,penalty_context,shootout_condition,shooter,shooter_foot,goalkeeper,shot_horizontal,shot_vertical,keeper_direction,penalty_type,outcome,video_source,competition
46847-18,2026-03-07_EASTERN_EASTERN-DISTRICT,7 MAR 2026,Eastern District,Eastern,SHOOTOUT,NORMAL,LI Ngai Hoi,LEFT,CASSARO USART Ian,CENTRE,HIGH,CENTRE,HESITATION,SAVED,https://www.hkfa.com/en/competitions/result/46847/detail,FA Cup
46847-19,2026-03-07_EASTERN_EASTERN-DISTRICT,7 MAR 2026,Eastern,Eastern District,SHOOTOUT,NORMAL,YIU Ho Ming,LEFT,DA SILVA ARGOLO Paulo Cesar,RIGHT,HIGH,RIGHT,NORMAL,SAVED,https://www.hkfa.com/en/competitions/result/46847/detail,FA Cup
46847-20,2026-03-07_EASTERN_EASTERN-DISTRICT,7 MAR 2026,Eastern District,Eastern,SHOOTOUT,CAN_WIN,CHANG Hei Yin,RIGHT,CASSARO USART Ian,LEFT,LOW,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46847/detail,FA Cup
46848-17,2026-03-07_KITCHEE_TAI-PO,7 MAR 2026,Tai Po,Kitchee,SHOOTOUT,NORMAL,SIMIONATO Paulo Sergio,RIGHT,PONG Cheuk Hei,RIGHT,LOW,LEFT,HESITATION,GOAL,https://www.hkfa.com/en/competitions/result/46848/detail,FA Cup
46848-18,2026-03-07_KITCHEE_TAI-PO,7 MAR 2026,Kitchee,Tai Po,SHOOTOUT,NORMAL,IKEGAMI LEIRA Kendy Renato,RIGHT,TSE Ka Wing,LEFT,HIGH,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46848/detail,FA Cup
46848-19,2026-03-07_KITCHEE_TAI-PO,7 MAR 2026,Tai Po,Kitchee,SHOOTOUT,NORMAL,LOPES ANTUNES Michel Renner,RIGHT,PONG Cheuk Hei,RIGHT,LOW,RIGHT,HESITATION,SAVED,https://www.hkfa.com/en/competitions/result/46848/detail,FA Cup
46848-20,2026-03-07_KITCHEE_TAI-PO,7 MAR 2026,Kitchee,Tai Po,SHOOTOUT,NORMAL,DE JESUS DANTAS Matheus,RIGHT,TSE Ka Wing,RIGHT,HIGH,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46848/detail,FA Cup
46848-21,2026-03-07_KITCHEE_TAI-PO,7 MAR 2026,Tai Po,Kitchee,SHOOTOUT,NORMAL,CHUNG Wai Keung,RIGHT,PONG Cheuk Hei,LEFT,HIGH,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46848/detail,FA Cup
46848-22,2026-03-07_KITCHEE_TAI-PO,7 MAR 2026,Kitchee,Tai Po,SHOOTOUT,NORMAL,REVILLA VALCARCEL Adrian,RIGHT,TSE Ka Wing,RIGHT,HIGH,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46848/detail,FA Cup
46848-23,2026-03-07_KITCHEE_TAI-PO,7 MAR 2026,Kitchee,Tai Po,SHOOTOUT,CAN_WIN,HADDOW Jay,LEFT,TSE Ka Wing,LEFT,LOW,LEFT,NORMAL,SAVED,https://www.hkfa.com/en/competitions/result/46848/detail,FA Cup
46848-24,2026-03-07_KITCHEE_TAI-PO,7 MAR 2026,Tai Po,Kitchee,SHOOTOUT,NORMAL,GERALDINO DOS SANTOS JUNIOR Marcos,LEFT,PONG Cheuk Hei,RIGHT,LOW,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46848/detail,FA Cup
46848-25,2026-03-07_KITCHEE_TAI-PO,7 MAR 2026,Tai Po,Kitchee,SHOOTOUT,MUST_SCORE,LAW Chun Ting,RIGHT,PONG Cheuk Hei,CENTRE,LOW,LEFT,PANENKA,GOAL,https://www.hkfa.com/en/competitions/result/46848/detail,FA Cup
46848-26,2026-03-07_KITCHEE_TAI-PO,7 MAR 2026,Kitchee,Tai Po,SHOOTOUT,MUST_SCORE,WONG Ho Chun Anson,LEFT,TSE Ka Wing,LEFT,LOW,LEFT,HESITATION,SAVED,https://www.hkfa.com/en/competitions/result/46848/detail,FA Cup
46848-27,2026-03-07_KITCHEE_TAI-PO,7 MAR 2026,Tai Po,Kitchee,SHOOTOUT,MUST_SCORE,GUTERRES MICHEL Mikael,RIGHT,PONG Cheuk Hei,LEFT,HIGH,RIGHT,HESITATION,GOAL,https://www.hkfa.com/en/competitions/result/46848/detail,FA Cup
48982-3,2026-03-08_BC-RANGERS_LEE-MAN,8 MAR 2026,BC Rangers,Lee Man,IN_MATCH,,LAU Chi Lok,RIGHT,LEUNG Hing Kit,RIGHT,LOW,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/48982/detail,FA Cup
48982-24,2026-03-08_BC-RANGERS_LEE-MAN,8 MAR 2026,Lee Man,BC Rangers,SHOOTOUT,NORMAL,MACHADO DOS SANTOS Willian Leonardo,RIGHT,YIP Ka Yu,LEFT,LOW,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/48982/detail,FA Cup
